node,x,y,z
N0001,0.0,0.0,-300.0
N0002,25.0,0.0,-298.956
N0003,0.0,25.0,-298.956
N0004,-25.0,0.0,-298.956
N0005,0.0,-25.0,-298.956
N0006,50.0,0.0,-295.804
N0007,0.0,50.0,-295.804
N0008,-50.0,0.0,-295.804
N0009,0.0,-50.0,-295.804
N0010,75.0,0.0,-290.474
N0011,0.0,75.0,-290.474
N0012,-75.0,0.0,-290.474
N0013,0.0,-75.0,-290.474
N0014,100.0,0.0,-282.843
N0015,0.0,100.0,-282.843
N0016,-100.0,0.0,-282.843
N0017,0.0,-100.0,-282.843
N0018,125.0,0.0,-272.431
N0019,0.0,125.0,-272.431
N0020,-125.0,0.0,-272.431
N0021,0.0,-125.0,-272.431
N0022,149.0,0.0,-260.370
N0023,0.0,149.0,-260.370
N0024,-149.0,0.0,-260.370
N0025,0.0,-149.0,-260.370
