node,theta_rad,flex_length_m
N0001,0.20652023621565194,-300.22374024194767
N0002,0.28996281870027546,-300.22316567997296
N0003,0.22251703541769455,-300.22363182011253
N0004,0.12307736975851145,-300.2242925092851
N0005,0.22251703541769455,-300.22363182011253
N0006,0.3739948116777478,-300.22256452331186
N0007,0.26513657116841277,-300.22333895667185
N0008,0.03904748817915586,-300.2248261322158
N0009,0.2651365711684127,-300.22333895667185
N0010,0.4592419420766138,-300.2219315622901
N0011,0.3249665797675299,-300.22291801485073
N0012,0.046196874116478326,-300.22478161067363
N0013,0.3249665797675299,-300.22291801485073
N0015,0.39562148771674077,-300.2224061486707
N0016,0.13336623145597504,-300.2242256174044
N0017,0.3956214877167407,-300.2224061486707
N0019,0.47398826272181027,-300.2218197088951
N0020,0.22351943924640638,-300.2236249988154
N0021,0.47398826272181016,-300.2218197088951
N0024,0.31331995090336173,-300.2230008548774
